text	url	keep	topics	sentiments	topics2	sentiments2	api_sentiment
Venus and Serena Williams Both Signed Off on Will Smith For King Richard: “He’s the Real Deal” https://t.co/yBqauDUfbv	https://twitter.com/i/web/status/1466919486766956554	1	act	p			o
Venus Williams Speaks on Will Smith’s Role in King Richard https://t.co/xx3x07rRgS	https://twitter.com/i/web/status/1466919309565906944	1	act	o			o
Venus Williams Speaks on Will Smith’s Role in King Richard https://t.co/o9XddJxqJD	https://twitter.com/i/web/status/1466918858778980356	1	act	o			o
If Will Smith wins the Oscar for King Richard, will that finally shut he and Jada up for what will hopefully be a good minute. This TMI tour has got to end. https://t.co/pKoXmtrg3D	https://twitter.com/i/web/status/1466918619913363463	1	act	p			p
Venus Williams talks about Will Smith’s role in King Richard https://t.co/gOC1aUoRwL	https://twitter.com/i/web/status/1466917861004394498	1	act	p			o
Who's going to win Best Supporting Actor (2022) (December, Round 1)  Ben Affleck - The Last Duel  Ben Affleck - The Tender Bar  David Alvarez - West Side Story  Jon Bernthal - King Richard	https://twitter.com/i/web/status/1466917660545802242	1	act	p			p
My Choices for the 2022 Oscar Performance Races Lead Actress: Kristen Stewart- Spencer Lead Actor: Will Smith- King Richard  Supporting Actress: Ruth Negga- Passing Supporting Actor: Kodi Smit-McPhee- The Power of the Dog  Who are y’all’s? https://t.co/n6vkB7yR3U	https://twitter.com/i/web/status/1466916145722806275	1	act	p			p
"According to @Venuseswilliams, Will Smith ""surpassed all expectations"" in #KingRichard. https://t.co/up2yJSQRyd"	https://twitter.com/i/web/status/1466915415448330245	1	act	p			o
Where I’m at with the Best Picture race at the moment:  BEING THE RICARDOS BELFAST CODA DON’T LOOK UP DUNE KING RICHARD LICORICE PIZZA THE POWER OF THE DOG SPENCER WEST SIDE STORY	https://twitter.com/i/web/status/1466907558589997057	1	act	p			p
If Will Smith does indeed win the Best Actor Oscar for King Richard (2021), it'll be THE MOST unsatisfying Oscar win of all time. I'm talking even more unsatisfying than Denzel Washington winning for Training Day (2001) and Al Pacino winning for Scent of a Woman (1992). ANGERING.	https://twitter.com/i/web/status/1466904753191874562	1	act	p	act	n	p
#yeahso I know it’s not cool to give Will Smith props these days, but he bodied King Richard.	https://twitter.com/i/web/status/1466902351604862976	1	act	p			n
"I hope that when Will Smith wins his Oscar for King Richard, the Academy plays the scene of him ripping an ""F you"" fart in front of the rich agents."	https://twitter.com/i/web/status/1466893228213297155	1	act	p			p
King Richard was really good. Saniyya Sidney &amp; Demi Singleton were amazing! Give Aunjanue Ellis her 💐 already and Will Smith, wow. Great performances all around and so moving.	https://twitter.com/i/web/status/1466892959396372490	1	act	p			p
DECEMBER Best Actor Oscar Predictions 🎄🎁  #BenedictCumberbatch will win BAFTA as well  1) Benedict Cumberbatch - The Power of the Dog 🏆 2) Bradley Cooper - Nightmare Alley 3) Will Smith - King Richard 4) Jude Hill - Belfast 5) Leonardo DiCaprio - Don’t Look Up  #NYFCC #Oscars https://t.co/vvBpIwX70o	https://twitter.com/i/web/status/1466876189255946243	1	act	p			p
King Richard is some film btw.  Will Smith is absolutely stunning, one of his best. 🥺👏🏽	https://twitter.com/i/web/status/1466875140025823236	1	act	p			p
"Will Smith delivers a performance of his career in ""King Richard,"" where he plays the father of the two most iconic tennis players of all time. Did you see the movie? https://t.co/zB5TcCQwQa"	https://twitter.com/i/web/status/1466867412876230657	1	act	p			p
the only thing I didn’t like about king richard is will smith’s doofy LA accent.	https://twitter.com/i/web/status/1466864004345778184	1	act	n			p
Oscar Predictions Best Supporting Actress :  Rita Moreno “West Side Story” Caitríona Balfe “Belfast” Kirsten Dunst “The Power of the Dog” Aunjanue Ellis “King Richard” Cate Blanchett “Nightmare Alley” Judi Dench “Belfast” Ariana DeBose “West Side Story”	https://twitter.com/i/web/status/1466854721122193408	1	act	p			p
Will Smith delivered a star turn in #KingRichard and @Allen_Austin_ broke down his performance on my podcast this week. Check out his take below and listen to our full review of the movie here: https://t.co/6yR1mRHWnQ https://t.co/MTUlt8ZhTh	https://twitter.com/i/web/status/1466852486505918465	1	act	p			n
