text	url
Bored so ranking the AFI picks (what I’ve seen)  1.  Licorice Pizza 2. West Side Story 3. The Tragedy of Macbeth  4. Tick, Tick…Boom! 5. King Richard 6. Coda  7. The Power of the Dog 8. Dune https://t.co/tjTjjutNLA	https://twitter.com/i/web/status/1468759721201082373
Sports movies are not a guilty pleasure. They are my favorite genre. Like I’m already ten minutes into #KingRichard and I’m crying.	https://twitter.com/i/web/status/1468759112976588802
Finally watching King Richard	https://twitter.com/i/web/status/1468759073856311300
King Richard. 😍😍👌🏾	https://twitter.com/i/web/status/1468758477619220484
king richard is suchhh a good movie. would recommend, will smith for best actor so true. (just gonna ignore all his weird ass dam drama)	https://twitter.com/i/web/status/1468757976341221458
#AFIAWARDS - American Film Institute’Top 10 Films of 2021 Include ‘#Dune ,’ ‘#KingRichard ’ and ‘The Power of the Dog’ https://t.co/lxBMIWdp6f	https://twitter.com/i/web/status/1468757369173815299
2022 #Oscars   Lead Actor: Smith - King Richard Andrew Garfield - TTB Dinklage - Cyrano Denzel - Macbeth Tom Holland - NWH press tour  Supporting Actor: Hinds - Belfast Doran - Belfast Kotsur - CODA Isaacs - Mass Andrew Garfield - multiple press tours since September. #NoWayHome https://t.co/5nS3ofwXso	https://twitter.com/i/web/status/1468757339792719872
King Richard (2021) 🤩🤩🤩 https://t.co/HRvIcijqX2	https://twitter.com/i/web/status/1468757210742284296
Will it’s usually typecast, but 7 pounds, Pursuit of Happiness, After earth (bad movie), King Richard, Ali, Concussion, Bagger Vance, Enemy of the state all different. He has decent range https://t.co/GVoy1Q5Z74	https://twitter.com/i/web/status/1468755066173730821
Aw, Sarah Schulman loved King Richard! https://t.co/IrGVpOQOc9	https://twitter.com/i/web/status/1468754162041163778
Las 10 mejores películas del año de acuerdo al AFI: 01.- CODA 02.- Don't Look Up 03.- Dune 04.- King Richard 05.- Licorice Pizza 06.- Nightmare Alley 07.- The Power of the Dog 08.- The Tragedy of Macbeth 09.- tick, tick... BOOM! 10.- West Side Story https://t.co/VMdbpi2UPz	https://twitter.com/i/web/status/1468753491946618881
King Richard was a good movie 👏🏽👏🏽	https://twitter.com/i/web/status/1468753214120112128
Highly recommend King Richard….another Will Smith masterpiece	https://twitter.com/i/web/status/1468752087005769732
I was gonna go watch King Richard solo but my mom said no and invited the whole family to come so now they and the two other people in the theatre will have a first row show to me crying over this masterpiece anywho I am truly excited 😌	https://twitter.com/i/web/status/1468751819304226819
'King Richard,' 'West Side Story,' and 'Dune' just made huge strides in the Oscars race at the AFI Awards.  https://t.co/3rvoQs4qcQ	https://twitter.com/i/web/status/1468751016678014978
King Richard movie……. Goated	https://twitter.com/i/web/status/1468750484173430787
saw belfast in the theater and king richard on hbo. they’re good! - i look forward to don’t look up  but it’s genuinely tragic to compare the generally didactic feel good that the academy loves to any of the boundary-pushing creativity of the international feature lineup https://t.co/kvmUVRFl8D	https://twitter.com/i/web/status/1468750455828201472
Audience Scores For AFI Best Of 2021  - King Richard 98% - Summer Of Soul 98% - Tick Tick Boom 96% - CODA 93% - Licorice Pizza 92% - Belfast 91% - Dune 90% - Power Of The Dog 64% &lt;- Yikes  - Don't Look Up N/A - Nightmare Alley N/A - Tragedy Of Macbeth N/A - West Side Story N/A	https://twitter.com/i/web/status/1468749971075870725
Wish I could have watched King Richard in the theater. Might of been the best movie all year	https://twitter.com/i/web/status/1468749773255712770
"""Astonishing Historical Fiction""  Not once, but twice in his minority, young King Richard II struggled to save his  crown. His enemies unwittingly laid the foundation for their own destruction in  A KING UNDER SIEGE  by Mercedes Rochelle https://t.co/YvP50Kis9l   @authorRochelle https://t.co/9R0tFpl9Uy"	https://twitter.com/i/web/status/1468749750941982720
King Richard was really good	https://twitter.com/i/web/status/1468749385727197188
