text	url	topics	sentiments	topics2	sentiments2
venus and serena williams both signed off on will smith for king richard hes the real deal 	https://twitter.com/i/web/status/1466919486766956554	act	p		
venus williams speaks on will smiths role in king richard 	https://twitter.com/i/web/status/1466919309565906944	act	o		
kingrichard is definitely one the best movies of the year blackexcellence	https://twitter.com/i/web/status/1466918994539999232	rev	p		
im really watching king richard getting my life i like this	https://twitter.com/i/web/status/1466918962680188928	rev	p		
venus williams speaks on will smiths role in king richard 	https://twitter.com/i/web/status/1466918858778980356	act	o		
king richard  what a good movie 	https://twitter.com/i/web/status/1466918741170860032	rev	p		
if will smith wins the oscar for king richard will that finally shut he and jada up for what will hopefully be a good minute this tmi tour has got to end 	https://twitter.com/i/web/status/1466918619913363463	act	p		
venus williams talks about will smiths role in king richard 	https://twitter.com/i/web/status/1466917861004394498	act	p		
whos going to win best supporting actor 2022 december round 1  ben affleck  the last duel  ben affleck  the tender bar  david alvarez  west side story  jon bernthal  king richard	https://twitter.com/i/web/status/1466917660545802242	act	p		
early in king richard where the girls are playing charades and venus is trying to get them to say saturn is so freaking telling wow	https://twitter.com/i/web/status/1466916622258610180	sce	o		
my choices for the 2022 oscar performance races lead actress kristen stewart spencer lead actor will smith king richard  supporting actress ruth negga passing supporting actor kodi smitmcphee the power of the dog  who are yalls 	https://twitter.com/i/web/status/1466916145722806275	act	p		
king richard was so good lol but would have loved to see more about their mother 	https://twitter.com/i/web/status/1466916124524699652	rev	o		
king richard was absolutely amazing 	https://twitter.com/i/web/status/1466916008464158725	rev	p		
according to venuseswilliams will smith surpassed all expectations in kingrichard 	https://twitter.com/i/web/status/1466915415448330245	act	p		
king richard and christmas shoppin until	https://twitter.com/i/web/status/1466914829529145344	other	o		
king richard    8510 solid film	https://twitter.com/i/web/status/1466912625896431631	rev	p		
im about to manifest my man like king richard manifested a tennis career for venus and serena	https://twitter.com/i/web/status/1466912474670768128	other	o		
rest of the story tells it self yeah  very goody i enjoyed it very much  venus up front the defeat  pop  very good  king richard  kingrichard	https://twitter.com/i/web/status/1466912238338379780	rev	p		
hbo max streaming king richard dune and everything else to know 	https://twitter.com/i/web/status/1466911364719554564	ad	o		
seated for king richard finally	https://twitter.com/i/web/status/1466910932416843782	other	o		
today i have watched 2 good films cmon cmon amp king richard	https://twitter.com/i/web/status/1466910421319925763	rev	p		
king richard 2021 	https://twitter.com/i/web/status/1466910187789422594	other	o		
btw king richard on hbo is a solid 1010	https://twitter.com/i/web/status/1466910155078090759	rev	p		
i just had a ten minute conversation with a random straight male coworker about gagahouse of gucci and serena williamsking richard 	https://twitter.com/i/web/status/1466909470223568899	rev	o	other	o
finally getting around to watching kingrichard	https://twitter.com/i/web/status/1466907988334026754	rev	o	other	o
where im at with the best picture race at the moment  being the ricardos belfast coda dont look up dune king richard licorice pizza the power of the dog spencer west side story	https://twitter.com/i/web/status/1466907558589997057	act	p		
227s youtube chili nfl spicy nba mix king richard  official be alive trailer 	https://twitter.com/i/web/status/1466907486594551811	ad	o		
king richard on hbo max review  the gab episode 48 saf segment  podcast links        yt link   via youtube 	https://twitter.com/i/web/status/1466906840411766785	ad	o		
i think im going to go to the movies to see king richard instead of watching at home 	https://twitter.com/i/web/status/1466906775693795329	other	o		
king richard was solid shoutout to the girl dads out there boy 	https://twitter.com/i/web/status/1466906612984078342	rev	p		
king richard movie of the year 	https://twitter.com/i/web/status/1466906557623324672	rev	p		
king richard live updates  serena and venus williams halfsister still wants relationship with stars after dad left 	https://twitter.com/i/web/status/1466905900514349058	other	o		
